# input                                            direction    mode    forward  reverse
U-wire-DualResponse-left-as-wt0                  decode       no-unknown        1        3
U-wire-DualResponse-left-as-wt0                  decode-pull  no-unknown        2        0
U-wire-DualResponse-left-as-wt1                  encode       no-unknown        3        2
U-wire-DualResponse-left-as-wt1                  decode       no-unknown        1        3
U-wire-DualResponse-left-as-wt1                  decode-pull  no-unknown        2        0
U-wire-DualResponse-left-as-wt5                  encode       no-unknown        3        2
U-wire-DualResponse-left-as-wt5                  decode       no-unknown        1        3
U-wire-DualResponse-left-as-wt5                  decode-pull  no-unknown        2        0
U-wire-ListMetricsResponse-batches-as-wt0        encode       no-unknown       12       11
U-wire-ListMetricsResponse-batches-as-wt0        decode       no-unknown        1       15
U-wire-ListMetricsResponse-batches-as-wt0        decode-pull  no-unknown        2        0
U-wire-ListMetricsResponse-batches-as-wt1        encode       no-unknown       12       11
U-wire-ListMetricsResponse-batches-as-wt1        decode       no-unknown        1       15
U-wire-ListMetricsResponse-batches-as-wt1        decode-pull  no-unknown        2        0
U-wire-ListMetricsResponse-batches-as-wt5        encode       no-unknown       12       11
U-wire-ListMetricsResponse-batches-as-wt5        decode       no-unknown        1       15
U-wire-ListMetricsResponse-batches-as-wt5        decode-pull  no-unknown        2        0
U-wire-ListProbeResponse-probes-as-wt0           encode       no-unknown        2        1
U-wire-ListProbeResponse-probes-as-wt0           decode       no-unknown        1        2
U-wire-ListProbeResponse-probes-as-wt0           decode-pull  no-unknown        2        0
U-wire-ListProbeResponse-probes-as-wt1           encode       no-unknown        2        1
U-wire-ListProbeResponse-probes-as-wt1           decode       no-unknown        1        2
U-wire-ListProbeResponse-probes-as-wt1           decode-pull  no-unknown        2        0
U-wire-ListProbeResponse-probes-as-wt5           encode       no-unknown        2        1
U-wire-ListProbeResponse-probes-as-wt5           decode       no-unknown        1        2
U-wire-ListProbeResponse-probes-as-wt5           decode-pull  no-unknown        2        0
U-wire-ListResultsResponse-page-as-wt1           encode       no-unknown        2        1
U-wire-ListResultsResponse-page-as-wt1           decode       no-unknown        1        2
U-wire-ListResultsResponse-page-as-wt1           decode-pull  no-unknown        2        0
U-wire-ListResultsResponse-page-as-wt2           encode       no-unknown        2        1
U-wire-ListResultsResponse-page-as-wt2           decode       no-unknown        1        2
U-wire-ListResultsResponse-page-as-wt2           decode-pull  no-unknown        2        0
U-wire-ListResultsResponse-page-as-wt5           encode       no-unknown        2        1
U-wire-ListResultsResponse-page-as-wt5           decode       no-unknown        1        2
U-wire-ListResultsResponse-page-as-wt5           decode-pull  no-unknown        2        0
U-wire-ListResultsResponse-results-as-wt0        encode       no-unknown        2        1
U-wire-ListResultsResponse-results-as-wt0        decode       no-unknown        1        2
U-wire-ListResultsResponse-results-as-wt0        decode-pull  no-unknown        2        0
U-wire-ListResultsResponse-results-as-wt1        encode       no-unknown        2        1
U-wire-ListResultsResponse-results-as-wt1        decode       no-unknown        1        2
U-wire-ListResultsResponse-results-as-wt1        decode-pull  no-unknown        2        0
U-wire-ListResultsResponse-results-as-wt5        encode       no-unknown        2        1
U-wire-ListResultsResponse-results-as-wt5        decode       no-unknown        1        2
U-wire-ListResultsResponse-results-as-wt5        decode-pull  no-unknown        2        0
U-wire-ListTaskSummaryResponse-tasks-as-wt0      encode       no-unknown        4        3
U-wire-ListTaskSummaryResponse-tasks-as-wt0      decode       no-unknown        1        7
U-wire-ListTaskSummaryResponse-tasks-as-wt0      decode-pull  no-unknown        2        0
U-wire-ListTaskSummaryResponse-tasks-as-wt1      encode       no-unknown        4        3
U-wire-ListTaskSummaryResponse-tasks-as-wt1      decode       no-unknown        1        7
U-wire-ListTaskSummaryResponse-tasks-as-wt1      decode-pull  no-unknown        2        0
U-wire-ListTaskSummaryResponse-tasks-as-wt5      encode       no-unknown        4        3
U-wire-ListTaskSummaryResponse-tasks-as-wt5      decode       no-unknown        1        7
U-wire-ListTaskSummaryResponse-tasks-as-wt5      decode-pull  no-unknown        2        0
U-wire-ListTasksDetailedResponse-page-as-wt1     encode       no-unknown       12       11
U-wire-ListTasksDetailedResponse-page-as-wt1     decode       no-unknown        1       15
U-wire-ListTasksDetailedResponse-page-as-wt1     decode-pull  no-unknown        2        0
U-wire-ListTasksDetailedResponse-page-as-wt2     encode       no-unknown       12       11
U-wire-ListTasksDetailedResponse-page-as-wt2     decode       no-unknown        1       15
U-wire-ListTasksDetailedResponse-page-as-wt2     decode-pull  no-unknown        2        0
U-wire-ListTasksDetailedResponse-page-as-wt5     encode       no-unknown       12       11
U-wire-ListTasksDetailedResponse-page-as-wt5     decode       no-unknown        1       15
U-wire-ListTasksDetailedResponse-page-as-wt5     decode-pull  no-unknown        2        0
U-wire-ListTasksDetailedResponse-tasks-as-wt0    encode       no-unknown       12       11
U-wire-ListTasksDetailedResponse-tasks-as-wt0    decode       no-unknown        1       15
U-wire-ListTasksDetailedResponse-tasks-as-wt0    decode-pull  no-unknown        2        0
U-wire-ListTasksDetailedResponse-tasks-as-wt1    encode       no-unknown       12       11
U-wire-ListTasksDetailedResponse-tasks-as-wt1    decode       no-unknown        1       15
U-wire-ListTasksDetailedResponse-tasks-as-wt1    decode-pull  no-unknown        2        0
U-wire-ListTasksDetailedResponse-tasks-as-wt5    encode       no-unknown       12       11
U-wire-ListTasksDetailedResponse-tasks-as-wt5    decode       no-unknown        1       15
U-wire-ListTasksDetailedResponse-tasks-as-wt5    decode-pull  no-unknown        2        0
U-wire-UploadResultDataMessage-upload-as-wt0     encode       no-unknown        1        0
U-wire-UploadResultDataMessage-upload-as-wt0     decode       no-unknown        1        1
U-wire-UploadResultDataMessage-upload-as-wt0     decode-pull  no-unknown        2        0
U-wire-UploadResultDataMessage-upload-as-wt1     encode       no-unknown        1        0
U-wire-UploadResultDataMessage-upload-as-wt1     decode       no-unknown        1        1
U-wire-UploadResultDataMessage-upload-as-wt1     decode-pull  no-unknown        2        0
U-wire-UploadResultDataMessage-upload-as-wt5     encode       no-unknown        1        0
U-wire-UploadResultDataMessage-upload-as-wt5     decode       no-unknown        1        1
U-wire-UploadResultDataMessage-upload-as-wt5     decode-pull  no-unknown        2        0
