# input                                            direction    mode    forward  reverse
U-nested-before                                  decode-pull  retain        2        8
U-nested-group                                   encode       drop          2        1
U-nested-group                                   decode       drop          1        2
U-nested-group                                   decode-pull  drop          2        0
U-nested-group                                   encode       retain        2        1
U-nested-group                                   decode       retain        1        3
U-nested-group                                   decode-pull  retain        2        1
U-nested-interleaved                             encode       drop          2        1
U-nested-interleaved                             decode       drop          1        2
U-nested-interleaved                             decode-pull  drop          2        0
U-nested-interleaved                             encode       retain        2        1
U-nested-interleaved                             decode       retain        1       10
U-nested-interleaved                             decode-pull  retain        2        8
U-nested-u-fixed32                               encode       drop          2        1
U-nested-u-fixed32                               decode       drop          1        2
U-nested-u-fixed32                               decode-pull  drop          2        0
U-nested-u-fixed32                               encode       retain        2        1
U-nested-u-fixed32                               decode       retain        1        3
U-nested-u-fixed32                               decode-pull  retain        2        1
U-nested-u-fixed64                               encode       drop          2        1
U-nested-u-fixed64                               decode       drop          1        2
U-nested-u-fixed64                               decode-pull  drop          2        0
U-nested-u-fixed64                               encode       retain        2        1
U-nested-u-fixed64                               decode       retain        1        3
U-nested-u-fixed64                               decode-pull  retain        2        1
U-nested-u-len                                   encode       drop          2        1
U-nested-u-len                                   decode       drop          1        2
U-nested-u-len                                   decode-pull  drop          2        0
U-nested-u-len                                   encode       retain        2        1
U-nested-u-len                                   decode       retain        1        3
U-nested-u-len                                   decode-pull  retain        2        1
U-nested-u-msg                                   encode       drop          2        1
U-nested-u-msg                                   decode       drop          1        2
U-nested-u-msg                                   decode-pull  drop          2        0
U-nested-u-msg                                   encode       retain        2        1
U-nested-u-msg                                   decode       retain        1        3
U-nested-u-msg                                   decode-pull  retain        2        1
U-nested-u-packed                                encode       drop          2        1
U-nested-u-packed                                decode       drop          1        2
U-nested-u-packed                                decode-pull  drop          2        0
U-nested-u-packed                                encode       retain        2        1
U-nested-u-packed                                decode       retain        1        3
U-nested-u-packed                                decode-pull  retain        2        1
U-nested-u-repeated                              encode       drop          2        1
U-nested-u-repeated                              decode       drop          1        2
U-nested-u-repeated                              decode-pull  drop          2        0
U-nested-u-repeated                              encode       retain        2        1
U-nested-u-repeated                              decode       retain        1        4
U-nested-u-repeated                              decode-pull  retain        2        2
U-nested-u-varint                                encode       drop          2        1
U-nested-u-varint                                decode       drop          1        2
U-nested-u-varint                                decode-pull  drop          2        0
U-nested-u-varint                                encode       retain        2        1
U-nested-u-varint                                decode       retain        1        3
U-nested-u-varint                                decode-pull  retain        2        1
U-oneof-all                                      encode       drop          2        1
U-oneof-all                                      decode       drop          1        2
U-oneof-all                                      decode-pull  drop          2        0
U-oneof-all                                      encode       retain        2        1
U-oneof-all                                      decode       retain        1       10
U-oneof-all                                      decode-pull  retain        2        8
U-oneof-before                                   encode       drop          2        1
U-oneof-before                                   decode       drop          1        2
U-oneof-before                                   decode-pull  drop          2        0
U-oneof-before                                   encode       retain        2        1
U-oneof-before                                   decode       retain        1       10
U-oneof-before                                   decode-pull  retain        2        8
